153,102
154,98
155,92
156,83
157,70
158,68
159,77
160,75
161,71
162,65
163,75
164,69
165,62
166,63
167,59
168,57
169,62
170,58
171,71
172,64
173,53
174,65
175,58
176,75
177,73
178,57
179,69
180,61
181,54
182,60
183,63
184,61
185,61
186,65
187,61
188,67
189,53
190,55
191,51
192,61
193,50
194,64
195,49
196,50
197,48
198,56
199,56
200,63
201,63
202,73
203,56
204,57
205,71
206,65
207,46
208,39
209,50
210,56
217,49
218,50
220,51
222,55
224,60
227,43
229,47
230,50
231,50
232,47
233,41
235,47
236,51
237,37
238,38
239,52
240,31
243,107
244,15
245,19
249,11
251,24
252,15
253,11
254,14
255,16
256,9
257,14
258,8
259,18
260,12
261,3
262,10
263,13
264,19
265,12
266,17
267,12
268,13
269,12
270,13
271,8
272,8
